account_id,industry,country,seats,is_trial,churn_flag,total_feature_usage,avg_usage_duration,total_errors,beta_feature_usage,total_tickets,avg_resolution_time,avg_first_response,avg_satisfaction,escalation_count,total_mrr,total_arr,plan_type,billing_frequency,auto_renew,usage_score,ticket_score,satisfaction_score,revenue_score,health_score,health_status
A-2e4581,EdTech,US,9,False,0,2140.0,2769.8,152.0,16,220,23.0,91.0,3.0,0,196760,2361120,Basic,monthly,True,0.10955321871696433,0.12276785714285714,0.0,0.03729139598062872,3.900278096862577,At Risk
A-5c046d,EdTech,FR,93,False,0,475.0,2781.0,23.0,5,46,13.0,128.0,3.0,0,563952,6767424,Basic,annual,True,0.01691426027930785,0.025669642857142856,0.0,0.10770019006186599,2.5738777838382054,At Risk
A-f446b6,DevTools,DE,5,True,0,3008.0,3269.6153846153848,248.0,24,312,30.75,82.5,4.25,39,362688,4352256,Basic,annual,True,0.15784788293551438,0.17410714285714285,0.625,0.06910796710503105,24.705003230949767,Neutral
A-43a9e3,FinTech,IN,18,False,1,1065.0,2889.6,42.0,6,105,38.0,73.33333333333333,4.0,0,157209,1886508,Pro,annual,False,0.04974127858454348,0.05859375,0.5,0.029707521019553824,16.997864063772816,At Risk
A-0a282f,DevTools,US,1,False,0,4926.0,3026.626506024096,288.0,30,498,43.66666666666666,63.66666666666666,4.666666666666667,0,457968,5495616,Pro,annual,True,0.26456351193456856,0.2779017857142857,0.8333333333333335,0.08737783654679526,34.5510793511758,Neutral
A-1f0ac7,HealthTech,UK,24,True,0,764.0,2500.682926829268,42.0,10,82,29.0,174.0,,0,172004,2064048,Pro,monthly,True,0.03299393534746564,0.04575892857142857,,0.03254445131332903,,At Risk
A-ce550d,HealthTech,US,35,False,1,4053.0,3720.3275862068967,217.0,28,406,42.285714285714285,107.85714285714286,3.8,58,2612372,31348464,Enterprise,annual,True,0.2159906526456351,0.2265625,0.3999999999999999,0.5004832081338502,28.383665268502405,Neutral
A-1b9609,EdTech,IN,4,False,0,5484.0,2990.234042553192,252.0,72,564,43.0,74.75,3.0,0,1052496,12629952,Pro,monthly,True,0.2956100817893507,0.31473214285714285,0.0,0.20137814027762227,12.704644648555046,At Risk
A-a0ca4e,Cybersecurity,US,11,False,0,2238.0,2999.076923076923,84.0,18,240,39.16666666666666,89.83333333333333,3.8,120,395268,4743216,Enterprise,annual,True,0.11500584209647804,0.13392857142857142,0.3999999999999999,0.0753551579783799,16.768051129141003,At Risk
A-e5d6ab,EdTech,US,3,False,0,2292.0,2719.6585365853657,138.0,30,246,42.66666666666666,57.0,,0,291570,3498840,Enterprise,monthly,True,0.11801034885661826,0.1372767857142857,,0.055471143270444695,,At Risk
A-7dacce,Cybersecurity,CA,12,False,1,5664.0,3029.770833333333,348.0,60,576,32.5,75.25,3.6666666666666665,0,1378968,16547616,Enterprise,annual,True,0.30562510432315143,0.3214285714285714,0.33333333333333326,0.2639789045134708,24.290296548909758,Neutral
A-10b8da,DevTools,US,14,False,1,771.0,2734.0,42.0,6,81,31.33333333333333,71.33333333333333,3.5,0,123444,1481328,Enterprise,monthly,True,0.033383408446002336,0.045200892857142856,0.25,0.02323310727373971,8.847989554743458,At Risk
A-592832,Cybersecurity,US,18,False,1,3159.0,3230.524752475248,165.0,39,306,32.666666666666664,80.66666666666667,5.0,0,574389,6892668,Pro,monthly,True,0.16624937406109164,0.17075892857142858,1.0,0.10970147708289552,37.13641521838729,Healthy
A-d40bf7,FinTech,IN,59,False,0,1124.0,2730.6545454545453,44.0,10,110,20.5,125.5,5.0,0,453710,5444520,Enterprise,monthly,False,0.05302398041506705,0.06138392857142857,1.0,0.08656136819999602,33.238347294888314,Neutral
A-6c093d,DevTools,US,7,True,0,2010.0,3394.921875,90.0,30,192,40.333333333333336,68.33333333333333,5.0,64,145866,1750392,Basic,monthly,True,0.10232014688699716,0.10714285714285714,1.0,0.02753250916944959,33.5720274874403,Neutral
A-462d45,Cybersecurity,US,11,True,0,2568.0,2312.478260869565,104.0,32,276,26.75,95.0,4.0,0,573600,6883200,Pro,monthly,True,0.13336671674177933,0.15401785714285712,0.5,0.10955018691717813,20.985493836586166,Neutral
A-956988,EdTech,UK,1,False,0,2632.0,2474.742857142857,196.0,32,280,50.5,118.0,3.0,0,736536,8838432,Pro,annual,True,0.13692761364268624,0.15625,0.0,0.14079304425726308,6.730465430852711,At Risk
A-ac14bb,FinTech,US,21,False,0,2124.0,3163.4444444444443,168.0,28,216,24.5,30.5,4.0,0,761920,9143040,Enterprise,monthly,True,0.10866299449173761,0.12053571428571427,0.5,0.1456604074595064,21.05437078600249,Neutral
A-463db0,HealthTech,US,15,False,0,2202.0,2871.864864864865,78.0,18,222,50.16666666666666,94.83333333333331,4.25,37,375138,4501656,Basic,annual,True,0.11300283758971791,0.12388392857142856,0.625,0.07149524538536232,23.461179125581676,Neutral
A-ce66f8,EdTech,CA,29,False,0,2964.0,2903.4565217391305,114.0,36,276,41.66666666666666,79.16666666666667,3.5,0,562572,6750864,Enterprise,monthly,True,0.15539976631614089,0.15401785714285712,0.25,0.10743557608380518,14.324523602893166,At Risk
A-c4ea60,FinTech,DE,18,False,1,2135.0,3191.720930232558,90.0,45,215,36.0,59.0,3.6,0,391290,4695480,Enterprise,annual,True,0.10927502364658098,0.11997767857142856,0.30000000000000004,0.07459237942423066,13.663071748633568,At Risk
A-832ec2,FinTech,UK,4,True,0,3066.0,3218.591836734694,150.0,36,294,26.0,108.66666666666669,4.0,98,343068,4116816,Basic,monthly,True,0.16107494575196127,0.1640625,0.5,0.0653458466343403,21.109289762765254,Neutral
